"1","0","14","Acequias","0274","5110 "
"2","0","14","Apartaderos","0271","5130 "
"3","0","14","Acarigua","0274","5101 "
"4","0","14","Bailadores","0275","5133 "
"5","0","14","Canagua","0275","5154 "
"6","0","14","Capazón","0275","3137 "
"7","0","14","Caño Zancudo","0275","3137 "
"8","0","14","Chachopo","0271","3112 "
"9","0","14","Chiguara","0275","5138 "
"10","0","14","Chocanta","0275","5112 "
"11","0","14","Ejido","0274","5111 "
"12","0","14","El Morro","0275","5101 "
"13","0","14","El Peñon","0275","5142 "
"14","0","14","El Vigí­a","0275","5145 "
"15","0","14","Estanques","0275","5101 "
"16","0","14","Guaraque","0275","5134 "
"17","0","14","Humboldt","0274","5101 "
"18","0","14","Jajá­","0274","5107 "
"19","0","14","La Azulita","0275","5102 "
"20","0","14","La Blanca","0275","5145 "
"21","0","14","La Hechicera","0274","5101 "
"22","0","14","La Mesa","0274","5112 "
"23","0","14","La Mesa de Ejido","0274","5112 "
"24","0","14","La Palmita","0275","5145 "
"25","0","14","La Parroquia","0274","5115 "
"26","0","14","La Pedregosa","0274","5101 "
"27","0","14","La Playa","0275","5143 "
"28","0","14","La Playita","0275","5145 "
"29","0","14","La Punta","0275","5115 "
"30","0","14","La Trampa","0275","5138 "
"31","0","14","La Vega","0274","5101 "
"32","0","14","Lagunilla","0274","5138 "
"33","0","14","Las Piedras","0274","5138 "
"34","0","14","Las Virtudes","0274","3141 "
"35","0","14","Libertad","0271","5145 "
"36","0","14","Los González","0274","5111 "
"37","0","14","Los Sauzales","0274","5101 "
"38","0","14","Mesa Bolívar","0274","5141 "
"39","0","14","Mesa Quintero","0274","5134 "
"40","0","14","Mucuchachi","0271","5105 "
"41","0","14","Mucuchies","0271","5130 "
"42","0","14","Mucuruba","0271","5129 "
"43","0","14","Mucutuy","0271","5106 "
"44","0","14","Mérida","0274","5101 "
"45","0","14","Piñango","0274","5114 "
"46","0","14","Pueblo Llano","0271","5124 "
"47","0","14","Pueblo Nuevo","0275","5108 "
"48","0","14","San Jacinto","0274","5101 "
"49","0","14","San José","0274","5101 "
"50","0","14","San Juan de Lagunilla","0274","5138 "
"51","0","14","San Rafael de Mucuchies","0271","5130 "
"52","0","14","Santa Cruz de Mora","0275","5142 "
"53","0","14","Santa Elena de Arenales","0274","5101 "
"54","0","14","Santo Domingo","0271","5131 "
"55","0","14","Tabay","0274","5116 "
"56","0","14","Timotes","0271","3112 "
"57","0","14","Tovar","0275","5143 "
"58","0","14","Tucantocani","0275","5145 "
"59","0","14","Unión","0274","5101 "
"60","0","14","Zea","0275","5144 "
"61","0","14","La Gonzalez","0275","5145 "
"62","0","14","Mucujepe","0275","5101 "
"63","0","14","San Cristobal De Torondoy","0271","3101 "
"64","0","14","Santa Apolonia De Merida","0271","3101 "
"65","0","14","Tucani","0275","5141 "
"66","0","14","Otras Poblaciones","0274","5101 "
"67","0","18","Acarigua","0255","3301 "
"68","0","18","Agua Blanca","0255","3302 "
